message_clean,suggestion,llm_category,responsible_dept,virality_score
"честно как 4 курсник скажу , что это был самый худший welcome party. Я от sdu от евент клаба и от других клабах не ожидал такого перфоманса . Хедлайнеры базара нет хорошие артисты но не было такого энергичного вайба , толпу никак не могли раскачать. Кнч я тут не виню евент клаб , может sdu мало денег выделили ?(",улучшить финансирование,events,Административный отдел,302.0
"Ребята просто наслаждайтесь моментом и кайфуйте все клубы старались для вас БЕСПЛАТНО,бывают форс мажорные ситуации и тд, от вас требуется только поддержать их и кайфовать с ними",наслаждаться моментом и поддерживать,events,,521.0
Как можно познакомиться с девушкой в универе несколько советов плииз,несколько советов,relationships,,181.4
"не поняла почему там у жюри стоят столько людей? невозможно увидеть сцену ни с какой стороны, хотели хоть у лестницы увидеть выступления, но нет. нельзя ли это как-то рассмотреть и не стоят весь велкам??? в след годах хоть учли бы ивент или сдулайф или не знаю?",перенести или изменить место проведения,events,,206.0
Есть подозрения что девушка которая мне нравится раньше употребляла наркотики (какие хз) Но я уверен что это так Доказательств прямых нету Но ей оч нравиться тема про зависимости Че можно сделать что б узнать ?,поговорить напрямую,relationships,,176.2
"SSBL пофакту достойный болды 2 факультет косылдыго значит они вообще сильные мен озым 1 курс менеджментте окимын, бырак кастингтан отпи калгам сол ушын утылып калдау мен негызы кушты идея усынам қалай ойласындар достар домалак бастар??🥰🥰🥰",участие в кастинге,other,,185.8
"Перваши, у кого не получается перевести с bcc bank на другие карты РК. Заходите на основной счет —> действия —> настройки карты —> изменить пин-код. Ставите любый удобный вам и подтверждаете. Всё. Дальше переводите себе на kaspi bank и ходите счастливые.",изменить пин-код и перевести деньги,academics,,129.8
Терезеге теплорд жабыстыруга болад. Любой строительный магаз,использовать теплорд из строительного магазина,dorms,Общежитие,94.0
Пожалуйста можете ответить в комментариях более менее серьёзно. Какие советы или лайф-хаки можете сказать выученными от своих ошибок или поняли их благодаря ошибкам других. И что вы начали делать чтобы больше не совершать эти ошибки ? Не важно в какой сфере,делиться опытом,humor,,152.0
"совет девчонкам не нужно заниматься сексом по дружбе, это вам ничего не даст потом очень сильно пожалеете дело не в том что надо себя хранить и прочая херня просто надо во время сопоставить что это вам даст и нужно ли это вообще из за всего этого я ощущаю себя ш я просто думала что это ок, парни же это делают и им хорошо, я тоже хочу веселья но бля нет это полная хуйня чтоб девушкам было хорошо в постели с парнем , ей должно быть комфортно и безопасно с ним все остальное хуйня",не заниматься сексом по дружбе,relationships,,211.0
"Ты не обязана оставаться в том, что больше не делает тебя счастливой.",оставить unhappy situation,mental_health,,158.0
идите в курилку если хотите найти друзей или новых знакомых в университете,идти в курилку,relationships,,190.4
Дормдагы туалетты таза ұстап уйреніңдерш,убирать за собой,dorms,Общежитие,140.4
если айдишку забыла можно попросить учителей в сдулайф поставить аттенданс?,попросить учителей поставить аттенданс,academics,Деканат,126.6
"Я в ахуе с людей просто , ребят если кто то нравится идите и говорите будь ты парень или девушка никто не будет косо смотреть , не слушайте диванных критиков из комментариев , терять хорошего человека из за обиженок не стоит",не бойтесь проявлять инициативу,relationships,,467.2
"можно ли оставить сменную обувь в sdu лайф, просто зб уже каждый раз таскать с собой",организовать место для хранения,dorms,Общежитие,122.8
"суть в том что мен платкадамын терять нечего просто басында озиме easy болган сабактан позор боп 2 таск 50 алдым озим тусинбедим неге екенин офис аурга кирип агайдан сурайм ба дегемго но бар уайымым сол куизда калды келеси куиздарды айырсам, normal боладыго да?",обратиться к преподавателю,academics,Деканат,101.8
"шпаргалка для первашей midterm (мидтерм(midterm)) = обычно это exam на 10-20 баллов(смотря какой силлабус) из 100, если завалите его, то у вас не будет этих 10-20 баллов quiz (quiz) = обычно 5-10 баллов(опять же смотря какой силлабус) если у вас к примеру 5 уроков, и все эти уроки вы закроете на 70+, то у вас будет стипендия, если все уроки 90+, то у вас будет повышка. но если хотя бы по 1 уроку у вас общая оценка будет меньше 70, то у вас стипендии не будет. retake только в том случае, если по какому то уроку у вас будет меньше 50 после файнала. если 4 семестра подряд все уроки будут 90+, то можно выйти на президентскую стипендию (это стипендия умноженная на 2)",советы по подготовке к midterm,academics,,470.0
"Есть люди кто поедет этим летом на Work & travel по air travel , мб группу создадим чтобы инфой делится?",создать группу для обмена информацией,career,,146.4
Господа админы добавьте в мини апп возможность бронирования кабинетов. Хотя бы внутри ангмешников,добавить возможность бронирования,infrastructure,Административный отдел,194.0
"Туалкетте разка, темекі шегетін ебландар қойсаңдарш",установить камеры,dorms,Общежитие,349.2
"Бля люди хватит разговаривать или шуметь в библиотеке. Это же не место чтобы болтать, давайте уважать и не мешать другим учится. Заебали уже те кто разговаривает",уважать других,other,Библиотека,200.2
"вроде халал уник, но строят курилки. Думаю надо убрать все курилки и в кпп проверять сумки😏",убрать курилки и проверять сумки,infrastructure,Административный отдел,555.6
насчёт поста про трех беременных: Могу посоветовать начать мониторить скидки 2+1 в waikiki kids,мониторить скидки 2+1 в Waikiki Kids,relationships,,411.6
"Чел который писал про дрочку. Брат это как наркотик, где привычной дозы мало, и надо все больше и больше. Поробуй и постарайся хотябы 2 недели не дрочить. Вдруг изминения будут. Сам тоже захожу на рул34, но стараюсь в пределах нормы это делать",уменьшить частоту мастурбации,mental_health,,135.8
Мы так же каждый день стараемся улучшать наш майнкрафт сервер. Появился сайт(sducraft.kz) где будут выходить важные новости а так же чат для тех кто часто играют + пожаловаться на игроков/гриферство мы примем меры и вернем вам вещи. ссылка на чат,улучшение сервера и создание сайта,other,,212.6
"Ребята, любите парилок, идите в курилку пожалуйста. Задолбалась в женском туалете чувствовать этот запах, тошнит уже",идти в курилку,relationships,,144.0
"Что делать. Я предлагаю девушке поработать над отношениями чтобы нам было комфортно в них (по типу убрать привычки которые приносят дискомфорт,убрать гордость во время разногласий, делать уступки и т.д) но в итоге работаю только я,она твердит что я должен ее терпеть,если не нравиться ее характер искать другую и т.д . Это длится уже месяц и я в итоге остаюсь не услышанным.",работать над собой и партнером,relationships,,309.2
"Хз братан я младший сын в семье, но поговорив с родителями, и сказав, что хочу жить отдельно от них они не особо обрадовались этому, но не хотели препятствовать МОЕЙ жизни, и МОЕМУ выбору. Поговори с ними, и разъясни ситуацию как взрослый самодостаточный мужчина. Если у тебя адекватные родители - они выслушают и поймут тебя",поговорить с родителями,relationships,,435.4
"кпц у bcc тупое приложение, как перевести на каспи? тут ничего не грузится и ошибки везде",перевести на Каспи,infrastructure,IT департамент,107.0
смени пин-код карты в настройках карты и переводи на каспи используя номер счета каспи,смени пин-код карты в настройках карты и переводи на каспи используя номер счета каспи,other,,122.4
"Какая разница что нормально а что нет, что должно быть в каком возрасте. У каждого своя норма и мы не живем по какому то сценарию, мы все индивидуальные со своим сценарием жизни) так что не парьтесь",не парьтесь,mental_health,,109.0
Как перестать сталкерить бывшего/бывшую А если вы оба с одного уника и видите друг друга регулярно😭,перестать сталкерить,relationships,,146.8
"Бляяя қалай арыктаса болады😖😖 особо коп тамак ышпимда но почему то вес туспейды много воды, и фитнес зал 3 раза в неделю, меньше сахара","меньше сахара, больше воды и спорт",mental_health,,89.0
У меня идея давайте sdu ангиме превратим в своеобразный реддит хаахахахах,превратить в реддит,humor,,88.8
"почему люди покупают ответы mde 151,152,153,154?? можно же с гпт сделать все",использовать GPT,academics,,349.8
Почему все думают что идти в кинорум = ебаться? Там ведь запрещено? Думаю там удобнее смотреть кино просто лежа,организовать просмотр кино лежа,relationships,,260.0
Кому нужно расписание тичеров или кабинетов есть сайт sduangme.ru или же мини апп бота sdu ангме,sduangme.ru или мини апп бота sdu ангме,academics,,533.8
раз наш university не празднует хэллоуин то может соберемся и отпразднуем сами?,самим организовав праздник,events,,186.0
"Тут есть участники клубов или куда можно клубам написать чтобы приняли идею. Раз уже был турнир по клэш рояль, то теперь хочу предложить турнир по мл (мобайл леджендс)",организовать турнир по мобайл леджендс,events,,271.8
"Всем кто переживает насчет ретейков, плохих оценок или же потери степухи, это все хуйня ребят, академические знания никогда ничего особого не значали, да конечно было бы круто еслиб этих проблем не было, но если они уже есть, то зачем переживать? Двигайтесь дальше, может на словах это кажется легко, но и я проходил через такое и сейчас смотря на все это, могу смело сказать что все это реально чепуха, поэтому не берите сильно это в себе голову или же в душу, двигайтесь, все будет, всем добра",двигаться дальше,mental_health,,398.0
Не слушайте таки уебанов как он. Которые говорят ретейки хуйня все дела. Я однажды прислушался к такому челику и у меня под конец первого курса 9 ретейков. Ретейки это пизда особенно микрокредиты. Старайтесь не хапать такую хуйню,не брать микрокредиты,humor,,497.0
Прикол в том что маган ол ретейктар хуйня деп кана емес 30% ка дейын жеткизип потом хуйня жауып тастауга болад деп айткан. И все жизнь по пизде пошла. Не пропускайте уроки и все normal будет,не пропускать уроки,humor,,302.0
"Всем привет ребята!) Те кто говорят, что «акша жок» и ищут работу онлайн или тому подобное. Лучше учитесь и развивайте всякие скилы, никак не пожалеете) На 3,4 курсп будете искать работу, а пока развивайте себя во всех сферах, планируйте каким вы хотите быть уже на 3,4 курсе, что для этого нужно) Мне этого никто не говорил, но стоит прислушаться когда говорят такое",развивать скилы и планировать карьеру,career,,409.6
"Про чела который сказал не слушать таких уебанов как я) Бро я не говорил зарабатывать ретейки, я сказал что это не конец жизни и если они есть у тебя то не стоит из за этого расстраиваться и надо жить дальше, и просто исправить раз сам все испортил, то что ты послушав одного чела хапнул лям ретаков это вообще другое, это твой тупизм. То что я хотел передать это совсем другое, читай включая мозги. А ретаки если есть то их все равно можно закрыть и тд, тут не говорится что надо хуй забить на них тупой далбаеб",не расстраиваться и жить дальше,humor,,274.0
Но бля вы поймите хапнуть retake это не хуйня постарайтесь закрыть звоните родакам говорите о проблемах. Кроме них вам никто не поможет. class ретейков это еще normal но когда их дохуя это как снежный ком. И потом уже будет поздно все это закрывать. Это ладно в прошлом можно было и с 0.1 gpa ходить. А сейчас меньше 1 и исключают. В sdu персоналу и учителям в основном похуй на то что ты степы лишишься или тебя кинуть. Но главное это то что retake это не хуйня закрывайте сразу же,постараться закрыть проблемы с ретейками,academics,Деканат,199.0
И на счет пидарасов которые говорят что учитесь. Так любыми способами ищите работу особенно те кто в айти исключительно по профессий хоть если вы перваш. Пока вы сами не найдете себе работу никто вам ее не предложит. Хоть вы магистратуру закончите,активно искать работу,career,,184.2
"у меня нет друзей в унике. в жизни подходить не боюсь, но все же стрем. я парень, исник. гоу дружить, пишите [USER], обязательно отвечу",писать [USER],relationships,,299.4
"подпишитесь на инст аккаунт клуба игр [USER].sdu проведем турниры по вашим любимым играм Проведите турнир по МЛ, в sdu таких много",провести турнир по МЛ,events,,184.0
подпишитесь на инст аккаунт клуба игр [USER].sdu проведем турниры по вашим любимым играм Проведите турнир по доте 2,провести турнир по доте 2,events,,277.8
Го напишем петицию чтобы снизили цену донера в унике,написать петицию,food,AC Catering,951.0
кстати новым подписчикам смотрите закреп. есть сайт и бот где можно смотреть расписание учителей и кабинетов. также найти свободные кабинеты,использовать сайт и бот,academics,,177.2
"Добрый день дорогие студенты! На связи бывший админ sdu Lost&Found. В связи с тем что я больше не админ😔, хочу попросить хозяев этих айдишек написать в клиентах, я свяжусь с вами, чтобы я вернула вам ваши айдишки, так как они остались при мне в не в офисе. Всем хорошего дня🫶🏻",написать в клиентах,admin,,250.6
music club пж на следующем выступлении сыграйте что то похожеее или вот эту саму песню🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,сыграть знакомую песню,events,,235.6
"дшга кирейн десем айдишкамды умытып кеттим можно просто айди номерди жазып, кируге? спортзалга🙏🏻",писать айди номер,infrastructure,IT департамент,123.8
"Анон sdu по факту были лучше, они поймали такой коннект с аудиторией, с активистами, людям же реально было интересно, тем более они фильтровали ненормальное, не нужно сейчас их обсирать, сами жб читали",уважать мнение других,events,,433.6
"Анас, тормоз деп айта бермендерш, кейбыреулерде отношение и так бар, а кто то просто хочет учится, тот кто захочет тот всегда начнет общаться и встречаться, заебали говорить тормоз тормоз, олып баратсандар оздерын келып таныспайсындарма",сами проявляйте инициативу,relationships,,353.0
Кыз здеп журген брат .Мой совет - иди в инсомниум .Там цветочник все свежие цветы.,идти в инсомниум,relationships,,164.4
"[URL] Организм как машина изнашивается. Когда вы катаетесь на нем просто так, не ломая, не царапая, она все равно со временем износиться и состариться. Организм нужно обновлять, у каждого свой подход, такие как отдых (полноценный, без телефона и лишнего шума) для покоя, или занятие спортом (йога, медитация или просто растяжка по утрам). Мало то что хочет ваша душа, важно и то что требует ваше тело. То что ты просто носишь свое тело и не ломаешь его, не значит что с ним все ок. Над ним надо работать. Просто сон, еда, дыхание и движение туда сюда это базовый минимум. Если забить на это, даже самая сильная машина заглохнет и умрет. Я не советую тебе ничего, но предлагаю тебе взяться за свое тело, чтобы просто дышать было легче, пока оно не заглохло совсем.",заботиться о здоровье,mental_health,,306.0
почему все ненавидят балбеску?Она же атмосферу наводит и смешно шутит.Уважайте ее.,уважать ее,relationships,,114.2
university ескіріп жатыр! Ремонт жасалсын!,сделать ремонт,infrastructure,Административный отдел,191.4
Мудладғы турнитеннен қалай өтсе болады?қандай лайфхактар бар вордқа саламыз жұмысымызды плагиат емес деп шығару керек болып тұр,использовать лайфхаки,academics,,190.4
"Давайте зимний/осенний бал устроим 😞😞🙏🙏🙏, почему не раскрасить студенческую жизнь классными эмоциями?? Вайб был бы офигенным, в престижных университетах есть почему у sdu такого нет? пожалуйста гайс Бир ауыздан шыккан соз боп котерейкшы осыны",организовать зимний/осенний бал,events,,582.6
Го петицию чтоб осений балл устроили,создать петицию,academics,Деканат,565.2
"Достар уно кімде бар , вай файға әкеле аласыңдар ма",принести wifi,infrastructure,IT департамент,173.6
"как же я обожаю ютуб премиум я забыл что пользуюсь им уже третий год гайс, пока вы студенты, пользуйтесь статусом и платите за него всего лишь ~700 тенге через плеймаркет переведите свой регион на украину и подтверждаете свой статус студента через sdu почту",оформлять подписку через плеймаркет,other,,294.2
"[URL] Переводись пока не поздно. А вообще если серьёзно, если ты не тупой старайся хотя бы 30% услий прилагать каждую лекцию/семинар. Старайся gpa не опускать ниже 3.5. После 1-2 курса поднять нормально gpa почти нереально.","прилагать усилия на лекциях и семинарах, поддерживать GPA",academics,Деканат,288.2
"Не надо голодать. Чтобы похудеть голодать не нужно!!! ЖКТ свой угробите, работу гормонов разьебете, делайте упор на белковую диету и просто ходите. От квартиры/общаги добираться пешком, если там 500м или 1км. Делайте в день 10к шагов, исключите сахар, да калории ау мау там шоколадку 1 разок в неделю можно, но заедаться этим тоже не стоит иначе ничего не выйдет. Самое главное питание, питание и ещё раз питание. Больше клетчатки, больше белка, исключите быстрые углеводы(макарошки, пакапошки, газировки всякие ау мау). Девушки, я понимаю вы хотите там пресс и тд. Но это вредно для женского здоровья как я слышал, знаю не мое дело, но все же решил упомянуть. Бастысы арыктаймын деп не угробьте себя🥀",белковая диета и ходьба,mental_health,,404.2
"не обязательно исключать сахар или что-либо еще, ибо все приводит к срывам. если чувствуете голод, значит ваш дефицит калорий вам не подходит и нужно поднимать калораж.",корректировка калорийности,mental_health,,142.0
"Не дрочил всю жизнь, что будет, иногда смотрел порно и член стоял, но я боялся просто потрогать его Бро это очень вредно твоему здоровью, что бы потом проблем с потенцией не было либо надо начинать либо найти девушку, бесплодный болып каласын",заняться сексом или найти девушку,mental_health,,170.4
"Девушки не бойтесь первой писать парням, главное использовать предлог, что все это “по дружеский” если вы не уверены в себе. “Привет, как дела? Че нового? Да прост скучно стало” если вы симпатичны ему, и если он не странный он ответит Вам тем же. Если вы боитесь, что покажетесь навязчивыми, или он будет спрашивать, зачем ты ему пишешь, говоришь “камон чел, я же по дружеский, че в этом такого” Во многом случае, парни этот дружеский жест воспринимают как, что то большее, по типу симпатии. При знакомстве со своим парнем, этот способ помог мне закинуть крючок (мы тогда не были знакомы, но на лицо знали друг друга), дальше он сам все накрутил себе, хотя я просто угостила его кофе)",использовать предлог для общения,relationships,,382.8
кантин жақтапда колонкамен фоновый музыка қылып бірдене қосып қойса күшті болар еді,добавить фоновую музыку,food,AC Catering,192.0
В кантине можно же купить еду нормальную на обед если ты не с дорма? Просто зб домой ездить во время окошки,купить нормальную еду,food,AC Catering,119.0
"Крч джиги, Егер 70% төмен и уже выход жоқ болып атсаңдар например икт, 20 декабрьге дин ашық тұратын LW мен дропать етсем, степ сақтап, и дела пойдут в гору! ма или пиздес қиялмынба?",сохранять степ и не дропать предметы,academics,,124.6
Привет админ андай бот жасаш который анон чат но сдушниктарга бундай бот анон баска униктардааа бар барнде или sdu барма?,создать бот для анонимного чата,admin,,109.4
Давайте откроем чат для ангимешников,открыть чат,relationships,,113.0
"Кто то создайте группу, чтобы играть в мафию и крокодила",создать группу для игр,events,,152.8
Кто ПОЛНОСТЬЮ готов сделать РТМ? Не за бесплатно конечно Могу как минимум 5К за каждый ассаймент или разом 50К,помощь в выполнении РТМ за оплату,career,,314.4
возможно ли поменять баскетбол на качалку?,поменять баскетбол на качалку,infrastructure,Административный отдел,116.0
Бля джиги может мерч заебашим для канала плюс еще с кю ар кодом плюс короче розыгрыш,организовать розыгрыш мерча,other,,124.8
Что подарить папе на др? Примерно на 15к. Заранее благодарна за ответы🫶🏼 можешь набор с электробритвой купить (с пеной и гелем после бритья),набор с электробритвой,other,,123.2
sduangme.ru Все баги и недостающие уроки были исправлены и добавлены. Спасибо всем кто оставляет фидбэк. Думаем сделать отзывы и рейтинг учителям(что бы при регистраций было удобно). Что думаете?,внедрение отзывов и рейтинга,admin,,971.6
"Менде уже үміт жоқ степендия ға , келесі семестр қайтарып алуға болама , ол кезде жазда тоже түсема степендия?",возможно вернуть в следующем семестре,scholarship,Финансовый отдел,234.2
создайте группу по мобле,создать группу по мобле,other,,117.2
можно ли закрыть академ англ с помощью айлтс? да если все секции больше 6.5,закрыть академ с помощью айлтс,academics,Деканат,128.2
за вас схожу на дш и возьму аттендс.предлагайте цены,предлагайте цены,relationships,,121.4
"Мне нравиться одна девушка, но я такой уебок без normal зпшки (пока что, надеюсь 🙏) Решил что отношения могут подождать до того момента когда я смогу без финансовых трудностей ухаживать за моей принцесской Поэтому я забил хуй на строительство адекватных отношений и просто перестал особо общаться с ней Когда мы общались она меня френдзонила, ей было в падлу время со мной проводить Но когда я положил хуй на общение с ней, она и ее подруги резко активизировали И начали доебываться до меня почему я перестал общаться с ней 🙃 отьебитесь сука если читаете этот пост Я апаю грандмастера на течисе я ментально болен блять",ждать улучшения фин. ситуации,relationships,,161.8
"Человек, который порезал руку, берегите себя, пожалуйста. Всё будет хорошо. Надеюсь, у вас всё хорошо. 🙏😭🥹 Люди, пишущие гадости, будьте добрее.",будьте добрее,mental_health,,459.2
"2-3 курстарға кеңес, Алтын Ордадан (группа продаж SDU) practice или доки купить не стоит 🙃",не покупать practice или доки,career,,233.2
"братар сделай пост с крысой пж это важно , он уже не первый раз вещи людей пиздит",сделать пост о проблеме,dorms,Общежитие,172.4
tomorrow у меня midterm по казак тылы. И я не готов. У меня что то нето с желудком. Если я пойду tomorrow в болницу и возму справку . Могу я патом сдат мидку?,взять справку в больнице,academics,Деканат,119.0
"Всем привет, мы сделали бота, он делает то же самое что и сайт, просто немного удобнее. [USER]",использовать бота,other,,1602.2
"Russian speaking people who view Kazakh speaking people as inferior, you all are fucking weird. Learn to have some respect. As Kazakh speaking person, it is not my obligation to respond to you in Russian perfectly. I do speak English fluently but stop acting like I must speak Russian perfectly when you can’t say a word in Kazakh. I do not let you colonise my language ❗️",уважать друг друга,relationships,,1239.6
[URL] tell that them.. what’s point of posts?.. dont see problem of just using your mouth when something irritates or makes you feel uncomfortable,использовать диалог,other,,245.6
"Okay. in reply - kazakh speaking people who tend to disrespect kazakhs who speak only russian - it's really unpleasant behavior of yours. Russian is one of the official languages in Kazakhstan and speaking russian isnt the same thing as disrespecting kazakh. We could love our country without speaking kazakh. AND if you will disrespect us it will make stereotypes about you just more real. Please stay friendly to each other, kazakh and russian languages should coexist and respect each other. Love everyonee❤️❤️",уважение к языкам,relationships,,508.8
"your country will eventually cease to exist if you and all of us continue living with that mindset. sure, no one is forcing you to speak kazakh but one nation's language plays a huge role in keeping it alive, so if you DO respect the kazakh language you'd eventually learn it. this is our way of becoming free from a forced ruling we were once under, and it's what we as the independent nation's people can do for our country, history and our ancestors. again, you're not obliged to learn kazakh, but let's think about it on a deeper level. the choice is yours. to speak our own language is to show that even despite the settlement we can manage to continue thriving and flourishing",выучить казахский,relationships,,245.4
"Жатаханада комнатадағыларым сучка, санасып қалғандар мені бөлектетеді келесі семестр ауыстырайын ба комната, бірақ хуже түсіп қалса ше 👀👀👀",ауыстырайын ба комната,dorms,Общежитие,243.6
"Я эту дактилоскопию шатала, пришла в 7.30 утра, и уже в очереди было 40 человек, а открывается само отделение в 9🥰 мне кажется тут просто после закрытия уходить не стоит, а стоять тут до следующего утра что бы быть первым в очереди","уходить не стоит, стоять до следующего утра",infrastructure,Служба безопасности,186.8
Я не понимаю почему в коммах под постами вы пишите «зачем нам эта информация». Разве смысл канала не в том чтобы люди делились всем чем хотят. Если вам нечего ответить просто не пишите ничего,игнорировать или не писать,relationships,,419.6
"Единственный совет, искать лишь достойного парня, который подойдёт тебе во всем, в общем соулмейта. Если ты девственница, то я думаю 10 партнёров не слишком большая проблема. Главное там все целое, парням это главнее. В общем если найдешь соулмейта, то будь с ним до конца, растите вместе, улучшайтесь, помогайте друг другу. А мучаться и ходить 3-4 года из-за принципа не стоит. Возможно на поиски этого человека уйдет тоже самое время и человек придет со временем.",искать достойного партнера и быть верным,relationships,,270.6
"Бля tomorrow месячные пойдут, а у меня нет денег даже на прокладки. Ватафак где можно найти онлайн работу? Сейчас и так работаю но деньги уходят на оплачивание кредита моих родителей.",найти онлайн работу,other,,155.8
"Бля tomorrow месячные пойдут, а у меня нет денег даже на прокладки. Ватафак где можно найти онлайн работу? Сейчас и так работаю но деньги уходят на оплачивание кредита моих родителей. “ достар я не хочу попрашайничать, думала может найдется какая то доп.работа. Мне стыдно такое писать, но на то это и анонимка. Обычно до такой степени дымсыз қалмайтынмын, просто осы айда были и дополнительные траты на лекарства и тд 😕“",поиск онлайн работы,other,,185.0
"Универге анау мынау заттар жасап әкеліп сатса normal боламекен? Типа кимпаб, выпечки, корндог, или что то на заказ студентов. Навыки имеются. Бір нәрсеге ақша жинап жүр едім дополнительно табыс болса?",продажа еды и напитков в универе,other,,165.4
"[URL] если цены не будут заоблачными было бы прикольно разбавить кантиновскую готовку, я часто покупать буду",снизить цены,food,AC Catering,241.2
"насколько можно продлить оплату? У меня родители не может никак оплатить я сама оплачивала но форс мажор и я не могу оплатить след семестр, пока финансова не восстановлюсь могу ли частично если пойду в деканат и объяснить да я финансова неграмотная😔",пойти в деканат и объяснить,academics,Финансовый отдел,102.2
"Что со мной происходит? С каждым днем, я как будто бы теряю веру в Бога. Мой ответ: Потому что бога нет. Ничего не страшного. Я тоже так чувствовала в какое то время. Нет рай и ад. Добро пожаловать в реальность. Нет не одно доказательство на существование бога. Советую читать книг, найти информацию про происхождения религии, бога, Библию, другие религии изучать в свободное время чтобы убедиться на то что это мы создали бога. Даже если Бог существует тогда он не такой сильный, справедливый, все любящие, и не заслуживают хвала и поклонение. Кстати, это не хейт к верующим. Всем желаю счастья и любви. Хорошего дня! ❤️ Я был примерным христианином, в прошлом. Сейчас вера просто разваливается на части. Бога, как концепцию, я смог принять. Пожалуй именно тогда, произошло пошатывание веры, когда я принял Бога не как высшее существо, а как концепцию. Мне страшно, ибо я все еще верю в Ад и Рай, и знаю, что в одно из мест, мне теперь не попасть. Но мне не страшен Ад, ибо это плата за мои грехи и одно из испытаний Господа. Мне страшно, что я предаю собственную веру, мне кажется что мысли, которые есть, что слова которые говорю, могут вести меня дальше от праведного пути. Типо, мне все легче, как религиозному человеку сказать ""Бога нет"". Это меня пугает. Но я точно не это имею в виду. И при этих словах чувствую не вину, страх, ненависть или еще что нибудь, а опустошение. Мне страшно. Очень сильно. Что мне делать? Помогите пожалуйста.",читать книги,mental_health,,193.8
